Symptoms,Medicines
"inflammation, headache, bacterial infection, sore throat","azithromycin, diclofenac"
"headache, stomach pain, inflammation","diclofenac, aciloc"
"bacterial infection, inflammation, cough","azithromycin, diclofenac"
"runny nose, swelling, body pain, cold, bacterial infection","cetirizine, azithromycin, diclofenac"
"bacterial infection, sore throat, acidity, body pain","azithromycin, diclofenac, aciloc"
"acidity, fever","paracetamol, aciloc"
"runny nose, swelling","cetirizine, diclofenac"
"stomach pain, body pain, acidity, sore throat","azithromycin, diclofenac, aciloc"
"sore throat, headache, allergy, sneezing","cetirizine, azithromycin, diclofenac"
"sore throat, cough, inflammation","azithromycin, diclofenac"
"headache, cough, fever, acidity","paracetamol, azithromycin, aciloc"
"bacterial infection, headache, cold, runny nose","cetirizine, azithromycin, diclofenac"
"swelling, cough, cold, acidity, fever","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"sneezing, inflammation","cetirizine, diclofenac"
"acidity, allergy, runny nose, body pain","cetirizine, diclofenac, aciloc"
"headache, cough","azithromycin, diclofenac"
"swelling, cold, fever","paracetamol, cetirizine, diclofenac"
cold,cetirizine
"cold, fever","paracetamol, cetirizine"
"runny nose, headache, cough, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, cough, inflammation, body pain, cold","cetirizine, azithromycin, diclofenac"
"swelling, cold, acidity","cetirizine, diclofenac, aciloc"
"stomach pain, acidity",aciloc
"stomach pain, acidity",aciloc
"runny nose, acidity, bacterial infection","cetirizine, azithromycin, aciloc"
"cough, acidity","azithromycin, aciloc"
"cold, body pain, cough, fever, allergy","paracetamol, cetirizine, azithromycin"
"sneezing, cold",cetirizine
swelling,diclofenac
"acidity, stomach pain, swelling, cough, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
"headache, sore throat","azithromycin, diclofenac"
"bacterial infection, allergy, body pain","cetirizine, azithromycin, diclofenac"
"stomach pain, swelling, sneezing, sore throat, headache","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, cough, fever","paracetamol, azithromycin, aciloc"
allergy,cetirizine
stomach pain,aciloc
"fever, sore throat, headache","paracetamol, azithromycin"
"inflammation, allergy, sneezing, acidity, cough","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, cough, acidity, cold","cetirizine, azithromycin, aciloc"
cough,azithromycin
"stomach pain, bacterial infection, inflammation, sore throat, fever","paracetamol, azithromycin, diclofenac, aciloc"
"acidity, inflammation","diclofenac, aciloc"
"allergy, runny nose, stomach pain, cough, acidity","cetirizine, azithromycin, aciloc"
"fever, sneezing, body pain, inflammation","paracetamol, cetirizine, diclofenac"
acidity,aciloc
cold,cetirizine
sneezing,cetirizine
"cold, inflammation, body pain","cetirizine, diclofenac"
sneezing,cetirizine
"sneezing, headache, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"allergy, runny nose, stomach pain","cetirizine, aciloc"
"bacterial infection, cough, body pain","azithromycin, diclofenac"
cold,cetirizine
"cough, bacterial infection, swelling, acidity","azithromycin, diclofenac, aciloc"
"fever, sore throat, cold, allergy","paracetamol, cetirizine, azithromycin"
"inflammation, allergy","cetirizine, diclofenac"
"acidity, cold, stomach pain","cetirizine, aciloc"
cough,azithromycin
"stomach pain, swelling, sneezing","cetirizine, diclofenac, aciloc"
sneezing,cetirizine
"cold, runny nose, acidity, stomach pain","cetirizine, aciloc"
"cold, allergy",cetirizine
"runny nose, inflammation, sneezing","cetirizine, diclofenac"
"body pain, inflammation",diclofenac
"bacterial infection, headache, acidity","azithromycin, diclofenac, aciloc"
cold,cetirizine
stomach pain,aciloc
"stomach pain, cold, runny nose","cetirizine, aciloc"
"sneezing, stomach pain, fever","paracetamol, cetirizine, aciloc"
"body pain, acidity, bacterial infection","azithromycin, diclofenac, aciloc"
"body pain, sore throat, swelling","azithromycin, diclofenac"
"body pain, fever, allergy, sneezing, headache","paracetamol, cetirizine"
"headache, sneezing, fever, acidity","paracetamol, cetirizine, aciloc"
"sneezing, headache, sore throat, acidity, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"fever, allergy, sneezing, inflammation, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
"sneezing, body pain, sore throat, cough","cetirizine, azithromycin, diclofenac"
bacterial infection,azithromycin
"fever, inflammation, sneezing, cold","paracetamol, cetirizine, diclofenac"
sore throat,azithromycin
"sore throat, allergy, cold","cetirizine, azithromycin"
"swelling, cold, cough, bacterial infection, inflammation","cetirizine, azithromycin, diclofenac"
"cough, cold, runny nose, inflammation","cetirizine, azithromycin, diclofenac"
sore throat,azithromycin
"fever, cold, bacterial infection","paracetamol, cetirizine, azithromycin"
"sneezing, body pain, allergy, bacterial infection","cetirizine, azithromycin, diclofenac"
body pain,diclofenac
body pain,diclofenac
"sore throat, cold, runny nose, swelling, bacterial infection","cetirizine, azithromycin, diclofenac"
"sneezing, runny nose, stomach pain, swelling, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, stomach pain, cough, swelling, fever","paracetamol, azithromycin, diclofenac, aciloc"
"cold, headache, fever","paracetamol, cetirizine"
"sneezing, bacterial infection, sore throat, acidity","cetirizine, azithromycin, aciloc"
"runny nose, fever, allergy, swelling, bacterial infection","paracetamol, cetirizine, azithromycin, diclofenac"
"inflammation, cough","azithromycin, diclofenac"
"acidity, allergy","cetirizine, aciloc"
"cough, fever, bacterial infection, acidity","paracetamol, azithromycin, aciloc"
"bacterial infection, allergy, sore throat","cetirizine, azithromycin"
"sore throat, headache, sneezing, body pain, cold","cetirizine, azithromycin, diclofenac"
"swelling, sore throat, runny nose, sneezing","cetirizine, azithromycin, diclofenac"
"acidity, sore throat","azithromycin, aciloc"
"inflammation, fever, allergy","paracetamol, cetirizine, diclofenac"
"inflammation, headache, runny nose","cetirizine, diclofenac"
"headache, cold, allergy, bacterial infection","cetirizine, azithromycin, diclofenac"
"inflammation, sore throat, body pain, bacterial infection, acidity","azithromycin, diclofenac, aciloc"
"cough, body pain, acidity","azithromycin, diclofenac, aciloc"
"bacterial infection, runny nose, cold","cetirizine, azithromycin"
"allergy, sore throat, sneezing, body pain, cough","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"swelling, inflammation",diclofenac
"allergy, bacterial infection","cetirizine, azithromycin"
"bacterial infection, sneezing, runny nose, cold, sore throat","cetirizine, azithromycin"
"runny nose, cold, headache","cetirizine, diclofenac"
swelling,diclofenac
"acidity, body pain, stomach pain, runny nose, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"fever, runny nose","paracetamol, cetirizine"
"body pain, fever, cold, allergy, acidity","paracetamol, cetirizine, aciloc"
"body pain, headache",diclofenac
runny nose,cetirizine
acidity,aciloc
"sore throat, cold, body pain","cetirizine, azithromycin, diclofenac"
"allergy, fever, sneezing, swelling","paracetamol, cetirizine, diclofenac"
"fever, allergy, headache","paracetamol, cetirizine"
"cold, acidity","cetirizine, aciloc"
body pain,diclofenac
"fever, headache, sneezing","paracetamol, cetirizine"
"cough, sore throat, allergy","cetirizine, azithromycin"
fever,paracetamol
"runny nose, headache","cetirizine, diclofenac"
"sore throat, body pain","azithromycin, diclofenac"
"cough, acidity, allergy, body pain, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, sore throat, fever, headache","paracetamol, cetirizine, azithromycin"
fever,paracetamol
"fever, sneezing, bacterial infection, body pain","paracetamol, cetirizine, azithromycin"
"sore throat, body pain, headache, cold, fever","paracetamol, cetirizine, azithromycin"
"bacterial infection, inflammation, acidity, cold, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, acidity, swelling, body pain","cetirizine, diclofenac, aciloc"
cough,azithromycin
"body pain, fever, sore throat","paracetamol, azithromycin"
"bacterial infection, swelling, sore throat, sneezing","cetirizine, azithromycin, diclofenac"
"inflammation, allergy","cetirizine, diclofenac"
acidity,aciloc
"inflammation, sore throat","azithromycin, diclofenac"
"allergy, stomach pain","cetirizine, aciloc"
"runny nose, headache","cetirizine, diclofenac"
"swelling, sneezing","cetirizine, diclofenac"
"sore throat, swelling","azithromycin, diclofenac"
"fever, bacterial infection, headache","paracetamol, azithromycin"
"headache, fever, swelling","paracetamol, diclofenac"
"cough, swelling, cold, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"fever, inflammation, cough, acidity","paracetamol, azithromycin, diclofenac, aciloc"
"inflammation, stomach pain, cold, runny nose","cetirizine, diclofenac, aciloc"
"cough, allergy, sneezing, bacterial infection, swelling","cetirizine, azithromycin, diclofenac"
"sneezing, allergy",cetirizine
"bacterial infection, body pain, cough, runny nose","cetirizine, azithromycin, diclofenac"
"bacterial infection, runny nose, swelling","cetirizine, azithromycin, diclofenac"
"bacterial infection, sneezing","cetirizine, azithromycin"
"swelling, stomach pain, runny nose, sneezing, headache","cetirizine, diclofenac, aciloc"
"cold, bacterial infection, body pain","cetirizine, azithromycin, diclofenac"
"sore throat, body pain, swelling","azithromycin, diclofenac"
"fever, swelling","paracetamol, diclofenac"
"inflammation, acidity, cold, swelling, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
cold,cetirizine
acidity,aciloc
"allergy, stomach pain","cetirizine, aciloc"
"cold, fever, body pain","paracetamol, cetirizine"
"stomach pain, allergy","cetirizine, aciloc"
"sneezing, sore throat","cetirizine, azithromycin"
"cough, inflammation","azithromycin, diclofenac"
"swelling, acidity","diclofenac, aciloc"
inflammation,diclofenac
"bacterial infection, sore throat",azithromycin
"sneezing, body pain, sore throat, fever","paracetamol, cetirizine, azithromycin"
"swelling, inflammation, cough","azithromycin, diclofenac"
"fever, headache, body pain",paracetamol
fever,paracetamol
"cold, runny nose, headache, sneezing","cetirizine, diclofenac"
cough,azithromycin
"cough, stomach pain, swelling, sneezing, fever","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"inflammation, allergy","cetirizine, diclofenac"
"body pain, acidity","diclofenac, aciloc"
"swelling, inflammation, sneezing, sore throat, cold","cetirizine, azithromycin, diclofenac"
"fever, body pain, allergy, sneezing, acidity","paracetamol, cetirizine, aciloc"
"runny nose, fever, headache, inflammation, cough","paracetamol, cetirizine, azithromycin, diclofenac"
"body pain, cough, cold, stomach pain, headache","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, cold, headache","cetirizine, diclofenac, aciloc"
"body pain, sneezing, fever, stomach pain, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"headache, bacterial infection, fever, acidity","paracetamol, azithromycin, aciloc"
"acidity, runny nose","cetirizine, aciloc"
"stomach pain, fever, runny nose, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
bacterial infection,azithromycin
"inflammation, swelling, bacterial infection, body pain, cough","azithromycin, diclofenac"
"acidity, inflammation, headache, stomach pain","diclofenac, aciloc"
"sneezing, headache, sore throat, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"headache, fever, sneezing, allergy, bacterial infection","paracetamol, cetirizine, azithromycin"
"stomach pain, swelling, body pain, allergy, fever","paracetamol, cetirizine, diclofenac, aciloc"
"cough, allergy","cetirizine, azithromycin"
stomach pain,aciloc
"runny nose, bacterial infection, inflammation, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, body pain, inflammation",diclofenac
"acidity, headache, body pain, sneezing","cetirizine, diclofenac, aciloc"
"stomach pain, cold, acidity, bacterial infection, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"cold, sneezing",cetirizine
"cough, runny nose, stomach pain, bacterial infection, cold","cetirizine, azithromycin, aciloc"
"stomach pain, headache, cold, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"cough, cold, acidity, stomach pain","cetirizine, azithromycin, aciloc"
"fever, swelling","paracetamol, diclofenac"
"sore throat, headache, body pain","azithromycin, diclofenac"
"sneezing, fever, inflammation","paracetamol, cetirizine, diclofenac"
"stomach pain, body pain, acidity","diclofenac, aciloc"
"fever, inflammation, bacterial infection, stomach pain","paracetamol, azithromycin, diclofenac, aciloc"
"fever, acidity, headache, cold, sore throat","paracetamol, cetirizine, azithromycin, aciloc"
"stomach pain, inflammation, sore throat, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, sore throat",azithromycin
"allergy, stomach pain","cetirizine, aciloc"
"allergy, swelling, cough","cetirizine, azithromycin, diclofenac"
"sore throat, cold, runny nose, swelling, allergy","cetirizine, azithromycin, diclofenac"
"inflammation, headache, allergy, sneezing","cetirizine, diclofenac"
"body pain, sore throat, stomach pain, bacterial infection","azithromycin, diclofenac, aciloc"
"cough, headache, acidity, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
bacterial infection,azithromycin
"body pain, sneezing","cetirizine, diclofenac"
allergy,cetirizine
"body pain, bacterial infection, swelling, cold","cetirizine, azithromycin, diclofenac"
"sore throat, fever, headache, acidity, cold","paracetamol, cetirizine, azithromycin, aciloc"
"inflammation, stomach pain, swelling, sore throat","azithromycin, diclofenac, aciloc"
"headache, fever, sore throat","paracetamol, azithromycin"
"headache, swelling",diclofenac
"stomach pain, headache, swelling, runny nose","cetirizine, diclofenac, aciloc"
"allergy, sneezing, fever","paracetamol, cetirizine"
"stomach pain, acidity, allergy, sneezing","cetirizine, aciloc"
fever,paracetamol
"cough, cold, body pain, allergy","cetirizine, azithromycin, diclofenac"
"swelling, runny nose","cetirizine, diclofenac"
"headache, cough, bacterial infection","azithromycin, diclofenac"
